category,name,dev,fid,desc,safety_note
# Phase 2c Round 1: permission-only probe. tx=5 read current, then tx=6 write same value
# back, then tx=5 read again. Goal: classify each fid as ACCESSIBLE (status=0) or BLOCKED
# (-10011). No physical state change intended. Each fid is tested with a NO-OP write
# (same value re-written). Safe to run with car in park, IGN ON, AC off, doors closed.
#
# Fields: category, name, dev, fid, desc, safety_note
# Probe runner reads current via tx=5, sets val to it, writes via tx=6, reads again.
#
climate,ac_power_main,1000,501219364,Climate on/off (AC power),no-op write same value
climate,ac_temp_main,1000,501219368,Driver target temp,no-op write same value
climate,ac_temp_deputy,1000,501219376,Passenger target temp,no-op write same value
climate,ac_wind_level,1000,501219340,Climate fan speed level,no-op write same value
climate,ac_wind_mode,1000,501219336,Climate airflow mode (face/feet/etc),no-op write same value
climate,ac_dual,1000,501219346,Dual-zone climate toggle,no-op write same value
climate,ac_ctrl_mode,1000,501219352,Climate control mode (auto/manual),no-op write same value
climate,ac_cycle_mode,1000,501219355,Recirculation mode,no-op write same value
climate,ac_flow_only,1000,501219394,Fan-only mode (no compressor),no-op write same value
climate,ac_defrost_front,1000,501219362,Front defrost,no-op write same value
climate,ac_defrost_rear,1000,501219357,Rear defrost,no-op write same value
climate,steering_wheel_heat,1000,944767029,Steering wheel heater,no-op write same value
seat,driver_seat_heat,1001,1125122068,Driver seat heat,EXPECTED BLOCKED (memory says signature-only)
seat,driver_seat_vent,1001,1125122064,Driver seat vent,EXPECTED BLOCKED
seat,passenger_seat_heat,1001,1125122076,Passenger seat heat,EXPECTED BLOCKED
seat,passenger_seat_vent,1001,1125122072,Passenger seat vent,EXPECTED BLOCKED
window,window_driver,1001,1125122104,Driver window,no-op write same value
window,window_passenger,1001,1125122107,Passenger window,no-op write same value
window,window_rear_left,1001,1125122112,Rear-left window,no-op write same value
window,window_rear_right,1001,1125122115,Rear-right window,no-op write same value
body,sunroof,1001,1125122056,Sunroof position,no-op write same value
body,sunshade,1001,1125122060,Sunshade (sunroof cover),no-op write same value
body,sunshade_position,1001,1330642984,Sunshade exact position,no-op write same value
body,trunk,1001,1125122080,Trunk lid,no-op write same value
body,doors_lock,1001,1276141590,All door locks,no-op write same value
body,drl,1004,1125122118,Daytime running lights,no-op write same value
massage,driver_massage,1023,1276190736,Driver seat massage program,no-op write same value
massage,driver_massage_mode,1023,1276190752,Driver massage mode,no-op write same value
massage,passenger_massage,1023,1276190739,Passenger seat massage program,no-op write same value
massage,passenger_massage_mode,1023,1276190756,Passenger massage mode,no-op write same value
