category,name,dev,fid,read_status,read_value,write_status,write_value,verdict
climate,ac_power_main,1000,501219364,0,-10011,skip,skip,READ_SENTINEL
climate,ac_temp_main,1000,501219368,0,-10011,skip,skip,READ_SENTINEL
climate,ac_temp_deputy,1000,501219376,0,-10011,skip,skip,READ_SENTINEL
climate,ac_wind_level,1000,501219340,0,-10011,skip,skip,READ_SENTINEL
climate,ac_wind_mode,1000,501219336,0,-10011,skip,skip,READ_SENTINEL
climate,ac_dual,1000,501219346,0,-10011,skip,skip,READ_SENTINEL
climate,ac_ctrl_mode,1000,501219352,0,-10011,skip,skip,READ_SENTINEL
climate,ac_cycle_mode,1000,501219355,0,-10011,skip,skip,READ_SENTINEL
climate,ac_flow_only,1000,501219394,0,-10011,skip,skip,READ_SENTINEL
climate,ac_defrost_front,1000,501219362,0,-10011,skip,skip,READ_SENTINEL
climate,ac_defrost_rear,1000,501219357,0,-10011,skip,skip,READ_SENTINEL
climate,steering_wheel_heat,1000,944767029,0,-10011,skip,skip,READ_SENTINEL
seat,driver_seat_heat,1001,1125122068,0,-10011,skip,skip,READ_SENTINEL
seat,driver_seat_vent,1001,1125122064,0,-10011,skip,skip,READ_SENTINEL
seat,passenger_seat_heat,1001,1125122076,0,-10011,skip,skip,READ_SENTINEL
seat,passenger_seat_vent,1001,1125122072,0,-10011,skip,skip,READ_SENTINEL
window,window_driver,1001,1125122104,0,-10011,skip,skip,READ_SENTINEL
window,window_passenger,1001,1125122107,0,-10011,skip,skip,READ_SENTINEL
window,window_rear_left,1001,1125122112,0,-10011,skip,skip,READ_SENTINEL
window,window_rear_right,1001,1125122115,0,-10011,skip,skip,READ_SENTINEL
body,sunroof,1001,1125122056,0,-10011,skip,skip,READ_SENTINEL
body,sunshade,1001,1125122060,0,-10011,skip,skip,READ_SENTINEL
body,sunshade_position,1001,1330642984,0,-10011,skip,skip,READ_SENTINEL
body,trunk,1001,1125122080,0,-10011,skip,skip,READ_SENTINEL
body,doors_lock,1001,1276141590,0,-10011,skip,skip,READ_SENTINEL
body,drl,1004,1125122118,0,-10011,skip,skip,READ_SENTINEL
massage,driver_massage,1023,1276190736,0,-10011,skip,skip,READ_SENTINEL
massage,driver_massage_mode,1023,1276190752,0,-10011,skip,skip,READ_SENTINEL
massage,passenger_massage,1023,1276190739,0,-10011,skip,skip,READ_SENTINEL
massage,passenger_massage_mode,1023,1276190756,0,-10011,skip,skip,READ_SENTINEL
